Character,Unicode Name,Codepoint,Category,Count,Percentage,Avg Width,Avg Height,Samples
e,LATIN SMALL LETTER E,U+0065,lowercase,6291,13.068%,13.40,31.37,10
t,LATIN SMALL LETTER T,U+0074,lowercase,4241,8.809%,12.69,28.25,10
o,LATIN SMALL LETTER O,U+006F,lowercase,3560,7.395%,12.64,27.85,10
h,LATIN SMALL LETTER H,U+0068,lowercase,3423,7.110%,12.14,27.67,10
i,LATIN SMALL LETTER I,U+0069,lowercase,2902,6.028%,12.99,28.96,10
a,LATIN SMALL LETTER A,U+0061,lowercase,2878,5.978%,13.06,28.84,10
n,LATIN SMALL LETTER N,U+006E,lowercase,2828,5.874%,13.75,28.69,10
r,LATIN SMALL LETTER R,U+0072,lowercase,2641,5.486%,12.46,29.83,10
l,LATIN SMALL LETTER L,U+006C,lowercase,1778,3.693%,11.10,27.82,10
d,LATIN SMALL LETTER D,U+0064,lowercase,1745,3.625%,13.12,28.75,10
u,LATIN SMALL LETTER U,U+0075,lowercase,1657,3.442%,12.56,27.44,10
m,LATIN SMALL LETTER M,U+006D,lowercase,1312,2.725%,13.95,25.94,10
ſ,LATIN SMALL LETTER LONG S,U+017F,long_s,1305,2.711%,11.30,28.05,10
y,LATIN SMALL LETTER Y,U+0079,lowercase,1221,2.536%,12.80,29.12,10
s,LATIN SMALL LETTER S,U+0073,lowercase,1214,2.522%,12.21,25.39,10
w,LATIN SMALL LETTER W,U+0077,lowercase,1124,2.335%,13.25,24.89,10
",",COMMA,U+002C,punctuation,1088,2.260%,11.57,28.94,10
f,LATIN SMALL LETTER F,U+0066,lowercase,933,1.938%,11.05,28.12,10
g,LATIN SMALL LETTER G,U+0067,lowercase,851,1.768%,12.71,31.01,10
c,LATIN SMALL LETTER C,U+0063,lowercase,834,1.732%,12.27,26.95,10
b,LATIN SMALL LETTER B,U+0062,lowercase,682,1.417%,12.59,27.60,10
p,LATIN SMALL LETTER P,U+0070,lowercase,575,1.194%,12.09,29.26,10
k,LATIN SMALL LETTER K,U+006B,lowercase,358,0.744%,12.50,25.20,10
T,LATIN CAPITAL LETTER T,U+0054,uppercase,312,0.648%,14.77,26.24,10
A,LATIN CAPITAL LETTER A,U+0041,uppercase,266,0.553%,16.89,25.48,10
W,LATIN CAPITAL LETTER W,U+0057,uppercase,185,0.384%,17.40,25.79,10
I,LATIN CAPITAL LETTER I,U+0049,uppercase,142,0.295%,10.99,25.25,10
S,LATIN CAPITAL LETTER S,U+0053,uppercase,130,0.270%,14.54,25.61,10
.,FULL STOP,U+002E,punctuation,114,0.237%,11.86,26.15,10
O,LATIN CAPITAL LETTER O,U+004F,uppercase,109,0.226%,19.26,27.04,10
B,LATIN CAPITAL LETTER B,U+0042,uppercase,102,0.212%,14.42,25.53,10
v,LATIN SMALL LETTER V,U+0076,lowercase,88,0.183%,12.30,23.53,10
H,LATIN CAPITAL LETTER H,U+0048,uppercase,84,0.174%,16.77,26.07,10
F,LATIN CAPITAL LETTER F,U+0046,uppercase,84,0.174%,13.68,25.15,10
:,COLON,U+003A,punctuation,83,0.172%,10.58,23.83,10
M,LATIN CAPITAL LETTER M,U+004D,uppercase,69,0.143%,18.63,29.61,10
N,LATIN CAPITAL LETTER N,U+004E,uppercase,65,0.135%,19.44,27.38,10
L,LATIN CAPITAL LETTER L,U+004C,uppercase,53,0.110%,15.57,27.47,10
E,LATIN CAPITAL LETTER E,U+0045,uppercase,51,0.106%,19.01,28.94,10
-,HYPHEN-MINUS,U+002D,punctuation,45,0.093%,13.08,27.18,10
x,LATIN SMALL LETTER X,U+0078,lowercase,42,0.087%,11.72,26.48,10
4,DIGIT FOUR,U+0034,digit,41,0.085%,13.07,21.85,10
?,QUESTION MARK,U+003F,punctuation,41,0.085%,11.86,26.71,10
P,LATIN CAPITAL LETTER P,U+0050,uppercase,39,0.081%,15.12,27.05,10
q,LATIN SMALL LETTER Q,U+0071,lowercase,39,0.081%,12.02,30.64,10
R,LATIN CAPITAL LETTER R,U+0052,uppercase,34,0.071%,16.74,29.53,10
D,LATIN CAPITAL LETTER D,U+0044,uppercase,32,0.066%,15.33,29.25,10
;,SEMICOLON,U+003B,punctuation,32,0.066%,11.13,26.47,10
C,LATIN CAPITAL LETTER C,U+0043,uppercase,31,0.064%,14.14,26.65,10
1,DIGIT ONE,U+0031,digit,27,0.056%,13.71,24.00,10
(,LEFT PARENTHESIS,U+0028,punctuation,26,0.054%,11.77,29.88,10
),RIGHT PARENTHESIS,U+0029,punctuation,25,0.052%,12.55,33.08,10
3,DIGIT THREE,U+0033,digit,25,0.052%,14.68,23.92,10
V,LATIN CAPITAL LETTER V,U+0056,uppercase,25,0.052%,22.99,31.72,10
’,RIGHT SINGLE QUOTATION MARK,U+2019,other,23,0.048%,11.00,26.00,10
G,LATIN CAPITAL LETTER G,U+0047,uppercase,22,0.046%,15.60,26.95,10
Y,LATIN CAPITAL LETTER Y,U+0059,uppercase,21,0.044%,16.16,26.43,10
2,DIGIT TWO,U+0032,digit,20,0.042%,15.20,21.95,10
‘,LEFT SINGLE QUOTATION MARK,U+2018,other,18,0.037%,11.56,26.11,10
5,DIGIT FIVE,U+0035,digit,15,0.031%,12.71,19.40,10
J,LATIN CAPITAL LETTER J,U+004A,uppercase,15,0.031%,10.62,24.00,10
!,EXCLAMATION MARK,U+0021,punctuation,15,0.031%,9.86,26.80,10
K,LATIN CAPITAL LETTER K,U+004B,uppercase,14,0.029%,16.75,29.14,10
z,LATIN SMALL LETTER Z,U+007A,lowercase,13,0.027%,12.40,27.08,10
6,DIGIT SIX,U+0036,digit,11,0.023%,15.08,27.00,10
8,DIGIT EIGHT,U+0038,digit,10,0.021%,15.04,28.10,10
é,LATIN SMALL LETTER E WITH ACUTE,U+00E9,other,9,0.019%,13.91,24.33,9
7,DIGIT SEVEN,U+0037,digit,9,0.019%,15.41,26.44,9
9,DIGIT NINE,U+0039,digit,8,0.017%,15.75,23.75,8
~,TILDE,U+007E,other,7,0.015%,19.00,15.00,7
0,DIGIT ZERO,U+0030,digit,7,0.015%,13.93,21.86,7
',APOSTROPHE,U+0027,punctuation,6,0.012%,12.15,28.83,6
&,AMPERSAND,U+0026,special,4,0.008%,29.25,18.00,4
],RIGHT SQUARE BRACKET,U+005D,punctuation,3,0.006%,10.12,23.67,3
j,LATIN SMALL LETTER J,U+006A,lowercase,3,0.006%,7.00,10.33,3
Q,LATIN CAPITAL LETTER Q,U+0051,uppercase,2,0.004%,19.93,30.50,2
U,LATIN CAPITAL LETTER U,U+0055,uppercase,1,0.002%,10.20,13.00,1
[,LEFT SQUARE BRACKET,U+005B,punctuation,1,0.002%,13.20,21.00,1
"""",QUOTATION MARK,U+0022,punctuation,1,0.002%,30.33,50.00,1
—,EM DASH,U+2014,punctuation,1,0.002%,59.00,7.00,1
X,LATIN CAPITAL LETTER X,U+0058,uppercase,1,0.002%,14.10,18.00,1
