Character,Unicode Name,Codepoint,Category,Count,Percentage,Avg Width,Avg Height,Samples
e,LATIN SMALL LETTER E,U+0065,lowercase,8932,13.115%,17.77,33.36,10
t,LATIN SMALL LETTER T,U+0074,lowercase,5672,8.328%,14.10,31.79,10
i,LATIN SMALL LETTER I,U+0069,lowercase,4724,6.936%,16.46,33.52,10
o,LATIN SMALL LETTER O,U+006F,lowercase,4703,6.906%,14.91,29.37,10
h,LATIN SMALL LETTER H,U+0068,lowercase,4298,6.311%,13.06,29.66,10
a,LATIN SMALL LETTER A,U+0061,lowercase,4169,6.122%,18.94,33.75,10
n,LATIN SMALL LETTER N,U+006E,lowercase,3809,5.593%,13.92,30.79,10
r,LATIN SMALL LETTER R,U+0072,lowercase,3563,5.232%,14.42,32.61,10
l,LATIN SMALL LETTER L,U+006C,lowercase,2603,3.822%,10.87,30.83,10
d,LATIN SMALL LETTER D,U+0064,lowercase,2354,3.456%,12.81,30.91,10
u,LATIN SMALL LETTER U,U+0075,lowercase,2283,3.352%,13.38,29.72,10
ſ,LATIN SMALL LETTER LONG S,U+017F,long_s,1954,2.869%,11.73,29.33,10
s,LATIN SMALL LETTER S,U+0073,lowercase,1688,2.479%,12.90,27.53,10
m,LATIN SMALL LETTER M,U+006D,lowercase,1657,2.433%,14.08,26.69,10
",",COMMA,U+002C,punctuation,1567,2.301%,11.38,30.42,10
y,LATIN SMALL LETTER Y,U+0079,lowercase,1566,2.299%,13.69,30.18,10
f,LATIN SMALL LETTER F,U+0066,lowercase,1449,2.128%,11.56,30.53,10
w,LATIN SMALL LETTER W,U+0077,lowercase,1401,2.057%,13.27,26.94,10
c,LATIN SMALL LETTER C,U+0063,lowercase,1204,1.768%,12.92,28.61,10
g,LATIN SMALL LETTER G,U+0067,lowercase,1143,1.678%,12.79,31.79,10
b,LATIN SMALL LETTER B,U+0062,lowercase,915,1.344%,12.81,27.84,10
p,LATIN SMALL LETTER P,U+0070,lowercase,838,1.230%,12.98,30.32,10
