Character,Category,Wright (STC 22353a) Count,Aspley (STC 22353) Count,Wright (STC 22353a) Width,Aspley (STC 22353) Width,Width Δ,Wright (STC 22353a) Height,Aspley (STC 22353) Height,Height Δ,Significance
e,lowercase,5108,6291,7.98,13.40,+5.42,18.24,31.37,+13.13,high
t,lowercase,3252,4241,7.48,12.69,+5.21,19.04,28.25,+9.21,high
o,lowercase,2920,3560,8.13,12.64,+4.51,18.02,27.85,+9.83,high
h,lowercase,2828,3423,7.66,12.14,+4.48,18.91,27.67,+8.76,high
n,lowercase,2362,2828,8.28,13.75,+5.47,19.45,28.69,+9.24,high
a,lowercase,2328,2878,8.14,13.06,+4.92,18.42,28.84,+10.42,high
i,lowercase,2320,2902,7.41,12.99,+5.58,19.85,28.96,+9.11,high
r,lowercase,2056,2641,7.85,12.46,+4.61,18.24,29.83,+11.59,high
d,lowercase,1470,1745,8.10,13.12,+5.02,18.10,28.75,+10.65,high
u,lowercase,1411,1657,7.90,12.56,+4.66,19.04,27.44,+8.40,high
l,lowercase,1359,1778,7.52,11.10,+3.58,19.40,27.82,+8.42,high
m,lowercase,1098,1312,8.50,13.95,+5.45,15.93,25.94,+10.01,high
y,lowercase,1074,1221,8.03,12.80,+4.77,18.98,29.12,+10.14,high
s,lowercase,994,1214,7.38,12.21,+4.83,18.36,25.39,+7.03,high
w,lowercase,960,1124,8.45,13.25,+4.80,16.68,24.89,+8.21,high
",",punctuation,863,1088,7.29,11.57,+4.28,18.63,28.94,+10.31,high
ſ,long_s,811,1305,7.14,11.30,+4.16,17.91,28.05,+10.14,high
f,lowercase,755,933,6.96,11.05,+4.09,17.18,28.12,+10.94,high
c,lowercase,744,834,7.64,12.27,+4.63,16.77,26.95,+10.18,high
g,lowercase,701,851,7.92,12.71,+4.79,19.55,31.01,+11.46,high
b,lowercase,566,682,7.78,12.59,+4.81,17.24,27.60,+10.36,high
p,lowercase,483,575,7.32,12.09,+4.77,18.37,29.26,+10.89,high
T,uppercase,295,312,10.71,14.77,+4.06,17.61,26.24,+8.63,high
k,lowercase,275,358,7.94,12.50,+4.56,16.52,25.20,+8.68,high
A,uppercase,200,266,9.75,16.89,+7.14,16.69,25.48,+8.79,high
I,uppercase,114,142,7.74,10.99,+3.25,20.55,25.25,+4.70,high
S,uppercase,112,130,9.65,14.54,+4.89,17.10,25.61,+8.51,high
W,uppercase,110,185,10.24,17.40,+7.16,18.82,25.79,+6.97,high
.,punctuation,101,114,9.04,11.86,+2.82,18.61,26.15,+7.54,high
‘,other,96,18,7.76,11.56,+3.80,21.20,26.11,+4.91,high
B,uppercase,86,102,9.16,14.42,+5.26,16.97,25.53,+8.56,high
v,lowercase,79,88,7.52,12.30,+4.78,18.47,23.53,+5.06,high
H,uppercase,69,84,11.12,16.77,+5.65,18.75,26.07,+7.32,high
M,uppercase,67,69,9.75,18.63,+8.88,19.49,29.61,+10.12,high
F,uppercase,65,84,8.77,13.68,+4.91,19.00,25.15,+6.15,high
N,uppercase,61,65,13.10,19.44,+6.34,21.56,27.38,+5.82,high
:,punctuation,60,83,6.60,10.58,+3.98,16.80,23.83,+7.03,high
O,uppercase,59,109,11.11,19.26,+8.15,20.22,27.04,+6.82,high
L,uppercase,48,53,9.84,15.57,+5.73,18.42,27.47,+9.05,high
E,uppercase,39,51,12.65,19.01,+6.36,20.67,28.94,+8.27,high
q,lowercase,32,39,7.37,12.02,+4.65,21.62,30.64,+9.02,high
?,punctuation,31,41,7.30,11.86,+4.56,18.16,26.71,+8.55,high
P,uppercase,30,39,9.49,15.12,+5.63,19.70,27.05,+7.35,high
-,punctuation,28,45,7.74,13.08,+5.34,17.82,27.18,+9.36,high
x,lowercase,26,42,7.39,11.72,+4.33,16.88,26.48,+9.60,high
D,uppercase,25,32,9.99,15.33,+5.34,20.04,29.25,+9.21,high
C,uppercase,24,31,9.40,14.14,+4.74,19.62,26.65,+7.03,high
1,digit,23,27,8.54,13.71,+5.17,15.70,24.00,+8.30,high
R,uppercase,22,34,11.93,16.74,+4.81,21.73,29.53,+7.80,high
G,uppercase,22,22,13.71,15.60,+1.89,19.95,26.95,+7.00,high
3,digit,20,25,9.80,14.68,+4.88,16.70,23.92,+7.22,high
2,digit,18,20,8.94,15.20,+6.26,12.06,21.95,+9.89,high
V,uppercase,17,25,14.80,22.99,+8.19,23.71,31.72,+8.01,high
(,punctuation,16,26,7.38,11.77,+4.39,20.25,29.88,+9.63,high
9,digit,16,8,9.55,15.75,+6.20,15.44,23.75,+8.31,high
8,digit,15,10,8.79,15.04,+6.25,16.40,28.10,+11.70,high
),punctuation,15,25,7.08,12.55,+5.47,22.80,33.08,+10.28,high
4,digit,14,41,10.08,13.07,+2.99,18.64,21.85,+3.21,medium
K,uppercase,13,14,9.67,16.75,+7.08,21.23,29.14,+7.91,high
z,lowercase,13,13,7.53,12.40,+4.87,16.23,27.08,+10.85,high
6,digit,12,11,9.83,15.08,+5.25,14.67,27.00,+12.33,high
0,digit,12,7,9.01,13.93,+4.92,15.42,21.86,+6.44,high
;,punctuation,11,32,7.29,11.13,+3.84,22.09,26.47,+4.38,high
é,other,9,9,7.97,13.91,+5.94,15.89,24.33,+8.44,high
Y,uppercase,9,21,9.52,16.16,+6.64,13.56,26.43,+12.87,high
’,other,9,23,7.54,11.00,+3.46,16.56,26.00,+9.44,high
7,digit,6,9,9.17,15.41,+6.24,15.50,26.44,+10.94,high
!,punctuation,5,15,5.75,9.86,+4.11,26.00,26.80,+0.80,high
5,digit,4,15,8.75,12.71,+3.96,17.50,19.40,+1.90,high
j,lowercase,4,3,5.38,7.00,+1.62,31.75,10.33,-21.42,high
',punctuation,3,6,8.33,12.15,+3.82,21.00,28.83,+7.83,high
Q,uppercase,2,2,20.79,19.93,-0.86,34.50,30.50,-4.00,medium
J,uppercase,2,15,6.50,10.62,+4.12,24.00,24.00,+0.00,high
X,uppercase,1,1,29.00,14.10,-14.90,21.00,18.00,-3.00,high
],punctuation,1,3,2.00,10.12,+8.12,5.00,23.67,+18.67,high
