Page,X,Y,Width,Height,Type,Description,Character
1,4.67,89.00,1.33,4.00,suspicious_mark_or_noise,Suspicious print block identified as 'l',l
1,1204.00,59.00,9.67,6.00,invalid_character_symbol,Suspicious print block identified as '=',=
1,1359.67,336.00,9.33,5.67,invalid_character_symbol,Suspicious print block identified as '|',|
1,12.00,434.33,5.67,1.67,invalid_character_symbol,Suspicious print block identified as '=',=
1,62.22,430.67,5.78,14.67,suspicious_mark_or_noise,Suspicious print block identified as 'l',l
1,68.33,419.67,2.67,26.00,invalid_character_symbol,Suspicious print block identified as '|',|
1,43.50,465.33,30.17,36.00,suspicious_mark_or_noise,Suspicious print block identified as 'l',l
1,372.00,451.00,8.67,38.33,invalid_character_symbol,Suspicious print block identified as '|',|
1,466.33,1001.00,0.67,0.67,invalid_character_symbol,Suspicious print block identified as '}',}
1,502.33,984.00,13.67,37.00,invalid_character_symbol,Suspicious print block identified as '}',}
1,736.00,1366.67,16.00,16.33,invalid_character_symbol,Suspicious print block identified as '@',@
1,1350.33,1374.33,0.67,0.67,invalid_character_symbol,Suspicious print block identified as '|',|
1,127.00,1620.33,2.00,1.67,invalid_character_symbol,Suspicious print block identified as '}',}
1,77.00,1667.00,2.00,4.67,invalid_character_symbol,Suspicious print block identified as '@',@
1,66.67,1726.33,0.33,6.00,suspicious_mark_or_noise,Suspicious print block identified as 'i',i
1,658.00,1847.00,1.33,1.33,invalid_character_symbol,Suspicious print block identified as '|',|
1,791.67,1943.00,28.00,2.00,invalid_character_symbol,Suspicious print block identified as '=',=
1,1354.33,1941.00,21.67,6.00,invalid_character_symbol,Suspicious print block identified as '|',|
2,1362.00,137.33,4.67,3.33,invalid_character_symbol,Suspicious print block identified as '>',>
2,1366.67,137.33,4.67,3.33,invalid_character_symbol,Suspicious print block identified as '»',»
2,1453.00,255.33,14.33,12.33,invalid_character_symbol,Suspicious print block identified as '@',@
2,1405.33,302.00,1.33,12.00,invalid_character_symbol,Suspicious print block identified as '\',\
2,515.67,342.67,3.00,3.67,invalid_character_symbol,Suspicious print block identified as '>',>
2,561.00,342.67,5.67,5.33,invalid_character_symbol,Suspicious print block identified as '>',>
2,712.00,340.00,1.33,8.00,invalid_character_symbol,Suspicious print block identified as '$',$
2,837.00,343.33,4.33,3.33,invalid_character_symbol,Suspicious print block identified as '°',°
2,989.67,344.00,2.67,2.00,invalid_character_symbol,Suspicious print block identified as '<',<
2,966.67,413.00,5.67,4.33,invalid_character_symbol,Suspicious print block identified as '*',*
2,1407.33,481.67,2.67,5.00,invalid_character_symbol,Suspicious print block identified as '@',@
2,988.67,559.00,1.33,1.00,invalid_character_symbol,Suspicious print block identified as '°',°
2,165.00,652.33,2.33,2.00,invalid_character_symbol,Suspicious print block identified as '|',|
2,81.67,695.00,10.44,7.33,invalid_character_symbol,Suspicious print block identified as '{',{
2,732.00,836.33,2.33,10.67,invalid_character_symbol,Suspicious print block identified as '}',}
