Character,Unicode Name,Codepoint,Category,Count,Percentage,Avg Width,Avg Height,Samples
e,LATIN SMALL LETTER E,U+0065,lowercase,13779,13.096%,14.51,8.00,10
t,LATIN SMALL LETTER T,U+0074,lowercase,8250,7.841%,14.44,29.32,10
o,LATIN SMALL LETTER O,U+006F,lowercase,6865,6.524%,16.41,28.99,10
i,LATIN SMALL LETTER I,U+0069,lowercase,6712,6.379%,14.26,27.93,10
a,LATIN SMALL LETTER A,U+0061,lowercase,6606,6.278%,15.07,20.69,10
h,LATIN SMALL LETTER H,U+0068,lowercase,6062,5.761%,16.06,33.37,10
n,LATIN SMALL LETTER N,U+006E,lowercase,5572,5.296%,17.66,32.20,10
r,LATIN SMALL LETTER R,U+0072,lowercase,5186,4.929%,15.47,29.73,10
l,LATIN SMALL LETTER L,U+006C,lowercase,3657,3.476%,15.58,37.35,10
d,LATIN SMALL LETTER D,U+0064,lowercase,3417,3.248%,17.44,35.96,10
u,LATIN SMALL LETTER U,U+0075,lowercase,3349,3.183%,17.10,34.29,10
ſ,LATIN SMALL LETTER LONG S,U+017F,long_s,3111,2.957%,15.54,34.76,10
s,LATIN SMALL LETTER S,U+0073,lowercase,2815,2.675%,14.82,31.00,10
m,LATIN SMALL LETTER M,U+006D,lowercase,2401,2.282%,18.11,33.93,10
",",COMMA,U+002C,punctuation,2394,2.275%,14.41,32.88,10
y,LATIN SMALL LETTER Y,U+0079,lowercase,2320,2.205%,16.22,37.10,10
w,LATIN SMALL LETTER W,U+0077,lowercase,2013,1.913%,18.57,33.78,10
f,LATIN SMALL LETTER F,U+0066,lowercase,1926,1.830%,15.74,37.17,10
c,LATIN SMALL LETTER C,U+0063,lowercase,1794,1.705%,16.31,35.21,10
g,LATIN SMALL LETTER G,U+0067,lowercase,1669,1.586%,16.62,38.19,10
b,LATIN SMALL LETTER B,U+0062,lowercase,1420,1.350%,16.61,37.08,10
p,LATIN SMALL LETTER P,U+0070,lowercase,1276,1.213%,16.29,38.39,10
.,FULL STOP,U+002E,punctuation,1117,1.062%,12.27,24.39,10
:,COLON,U+003A,punctuation,705,0.670%,10.96,21.34,10
k,LATIN SMALL LETTER K,U+006B,lowercase,695,0.661%,17.41,35.30,10
T,LATIN CAPITAL LETTER T,U+0054,uppercase,690,0.656%,20.10,33.43,10
A,LATIN CAPITAL LETTER A,U+0041,uppercase,667,0.634%,23.87,36.19,10
S,LATIN CAPITAL LETTER S,U+0053,uppercase,588,0.559%,19.70,28.23,10
-,HYPHEN-MINUS,U+002D,punctuation,522,0.496%,13.91,28.16,10
