Character,Unicode Name,Codepoint,Category,Count,Percentage,Avg Width,Avg Height,Samples
e,LATIN SMALL LETTER E,U+0065,lowercase,13657,13.175%,12.05,9.35,10
t,LATIN SMALL LETTER T,U+0074,lowercase,8217,7.927%,14.86,30.39,10
o,LATIN SMALL LETTER O,U+006F,lowercase,6837,6.596%,16.90,30.54,10
i,LATIN SMALL LETTER I,U+0069,lowercase,6618,6.384%,15.55,31.00,10
a,LATIN SMALL LETTER A,U+0061,lowercase,6517,6.287%,15.82,24.92,10
h,LATIN SMALL LETTER H,U+0068,lowercase,6049,5.835%,16.22,33.76,10
n,LATIN SMALL LETTER N,U+006E,lowercase,5556,5.360%,17.86,32.61,10
r,LATIN SMALL LETTER R,U+0072,lowercase,5168,4.986%,15.45,31.00,10
l,LATIN SMALL LETTER L,U+006C,lowercase,3877,3.740%,15.91,36.75,10
d,LATIN SMALL LETTER D,U+0064,lowercase,3410,3.290%,17.44,35.96,10
u,LATIN SMALL LETTER U,U+0075,lowercase,3345,3.227%,17.19,34.67,10
ſ,LATIN SMALL LETTER LONG S,U+017F,long_s,3100,2.991%,15.54,34.76,10
s,LATIN SMALL LETTER S,U+0073,lowercase,2768,2.670%,15.27,31.83,10
m,LATIN SMALL LETTER M,U+006D,lowercase,2398,2.313%,18.11,33.93,10
",",COMMA,U+002C,punctuation,2324,2.242%,15.95,37.39,10
y,LATIN SMALL LETTER Y,U+0079,lowercase,2295,2.214%,16.51,37.85,10
w,LATIN SMALL LETTER W,U+0077,lowercase,2009,1.938%,18.57,33.78,10
f,LATIN SMALL LETTER F,U+0066,lowercase,1925,1.857%,15.74,37.17,10
c,LATIN SMALL LETTER C,U+0063,lowercase,1785,1.722%,16.40,35.65,10
g,LATIN SMALL LETTER G,U+0067,lowercase,1664,1.605%,16.58,38.97,10
b,LATIN SMALL LETTER B,U+0062,lowercase,1415,1.365%,16.61,37.08,10
p,LATIN SMALL LETTER P,U+0070,lowercase,1267,1.222%,16.34,39.16,10
.,FULL STOP,U+002E,punctuation,948,0.915%,15.18,30.55,10
k,LATIN SMALL LETTER K,U+006B,lowercase,693,0.669%,17.54,35.54,10
T,LATIN CAPITAL LETTER T,U+0054,uppercase,682,0.658%,20.10,33.43,10
