Character,Unicode Name,Codepoint,Category,Count,Percentage,Avg Width,Avg Height,Samples
e,LATIN SMALL LETTER E,U+0065,lowercase,5108,13.128%,7.98,18.24,10
t,LATIN SMALL LETTER T,U+0074,lowercase,3252,8.358%,7.48,19.04,10
o,LATIN SMALL LETTER O,U+006F,lowercase,2920,7.505%,8.13,18.02,10
h,LATIN SMALL LETTER H,U+0068,lowercase,2828,7.268%,7.66,18.91,10
n,LATIN SMALL LETTER N,U+006E,lowercase,2362,6.071%,8.28,19.45,10
a,LATIN SMALL LETTER A,U+0061,lowercase,2328,5.983%,8.14,18.42,10
i,LATIN SMALL LETTER I,U+0069,lowercase,2320,5.963%,7.41,19.85,10
r,LATIN SMALL LETTER R,U+0072,lowercase,2056,5.284%,7.85,18.24,10
d,LATIN SMALL LETTER D,U+0064,lowercase,1470,3.778%,8.10,18.10,10
u,LATIN SMALL LETTER U,U+0075,lowercase,1411,3.626%,7.90,19.04,10
l,LATIN SMALL LETTER L,U+006C,lowercase,1359,3.493%,7.52,19.40,10
m,LATIN SMALL LETTER M,U+006D,lowercase,1098,2.822%,8.50,15.93,10
y,LATIN SMALL LETTER Y,U+0079,lowercase,1074,2.760%,8.03,18.98,10
s,LATIN SMALL LETTER S,U+0073,lowercase,994,2.555%,7.38,18.36,10
w,LATIN SMALL LETTER W,U+0077,lowercase,960,2.467%,8.45,16.68,10
",",COMMA,U+002C,punctuation,863,2.218%,7.29,18.63,10
ſ,LATIN SMALL LETTER LONG S,U+017F,long_s,811,2.084%,7.14,17.91,10
f,LATIN SMALL LETTER F,U+0066,lowercase,755,1.940%,6.96,17.18,10
c,LATIN SMALL LETTER C,U+0063,lowercase,744,1.912%,7.64,16.77,10
g,LATIN SMALL LETTER G,U+0067,lowercase,701,1.802%,7.92,19.55,10
b,LATIN SMALL LETTER B,U+0062,lowercase,566,1.455%,7.78,17.24,10
p,LATIN SMALL LETTER P,U+0070,lowercase,483,1.241%,7.32,18.37,10
T,LATIN CAPITAL LETTER T,U+0054,uppercase,295,0.758%,10.71,17.61,10
k,LATIN SMALL LETTER K,U+006B,lowercase,275,0.707%,7.94,16.52,10
A,LATIN CAPITAL LETTER A,U+0041,uppercase,200,0.514%,9.75,16.69,10
I,LATIN CAPITAL LETTER I,U+0049,uppercase,114,0.293%,7.74,20.55,10
S,LATIN CAPITAL LETTER S,U+0053,uppercase,112,0.288%,9.65,17.10,10
W,LATIN CAPITAL LETTER W,U+0057,uppercase,110,0.283%,10.24,18.82,10
.,FULL STOP,U+002E,punctuation,101,0.260%,9.04,18.61,10
‘,LEFT SINGLE QUOTATION MARK,U+2018,other,96,0.247%,7.76,21.20,10
B,LATIN CAPITAL LETTER B,U+0042,uppercase,86,0.221%,9.16,16.97,10
v,LATIN SMALL LETTER V,U+0076,lowercase,79,0.203%,7.52,18.47,10
H,LATIN CAPITAL LETTER H,U+0048,uppercase,69,0.177%,11.12,18.75,10
M,LATIN CAPITAL LETTER M,U+004D,uppercase,67,0.172%,9.75,19.49,10
F,LATIN CAPITAL LETTER F,U+0046,uppercase,65,0.167%,8.77,19.00,10
N,LATIN CAPITAL LETTER N,U+004E,uppercase,61,0.157%,13.10,21.56,10
:,COLON,U+003A,punctuation,60,0.154%,6.60,16.80,10
O,LATIN CAPITAL LETTER O,U+004F,uppercase,59,0.152%,11.11,20.22,10
L,LATIN CAPITAL LETTER L,U+004C,uppercase,48,0.123%,9.84,18.42,10
E,LATIN CAPITAL LETTER E,U+0045,uppercase,39,0.100%,12.65,20.67,10
q,LATIN SMALL LETTER Q,U+0071,lowercase,32,0.082%,7.37,21.62,10
?,QUESTION MARK,U+003F,punctuation,31,0.080%,7.30,18.16,10
P,LATIN CAPITAL LETTER P,U+0050,uppercase,30,0.077%,9.49,19.70,10
